term,variant,Lemma_1,Lemma_2,source,same_as:National_Library_of_Poland,same_as:Wikidata
orientalistyka,,orientalistyka,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810554817605606,http://www.wikidata.org/entity/Q476294
orientalizm,,orientalizm,,"Słownik terminów literackich (Sierotwiński) | Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski) | Słownik literatury polskiej | Słownik polskiej krytyki literackiej 1764-1918 | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich",http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810554818205606,http://www.wikidata.org/entity/Q42865
ornatus,,ornatus,,Słownik Terminów Literackich (Głowiński),,
ornatus difficiiis,,ornatus difficiiis,,Słownik Terminów Literackich (Głowiński),,
ornatus facilis,,ornatus facilis,,Słownik Terminów Literackich (Głowiński),,
ortodoksyjność strukturalizmu,,ortodoksyjność strukturalizm,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
ortoepia,,ortoepia,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
ortofonia,,ortofonie,,Słownik terminów literackich (Sierotwiński),,
ortografia,,ortografia,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
oryginalność,,oryginalność,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Ilustrowany słownik terminów literackich | Słownik literatury staropolskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
oryginał,,oryginał,,Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
oschoforikon,,oschoforikon,,Słownik Terminów Literackich (Głowiński),,
osiągnięcia strukturalizmu,,osiągnąć strukturalizm,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
osjanizm,,osjanizm,,"Słownik terminów literackich (Sierotwiński) | Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Słownik literatury polskiej | Słownik polskiej krytyki literackiej 1764-1918 | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich",,
osnowa,,osnowy,,Słownik terminów literackich (Sierotwiński),,
osobliwości wersyfikacyjne,,osobliwość wersyfikacyjny,,Słownik terminów literackich (Sierotwiński),,
osobliwość,,osobliwość,,Słownik terminów literackich (Sierotwiński),,
ostensja,,ostensja,,Słownik terminów teatralnych (Patrice Pavis),,
ostrość obrazu filmowego,,ostrość obraz filmowy,,Słownik pojęć i tekstów kultury,,
oswobodzanie języka z przymusu przedstawienia,oswobadzać?,oswobodzać język z przymus przedstawienie,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
ośmiostopowiec,,ośmiostopowiec,,Słownik terminów literackich (Sierotwiński),,
ośmiowers,,ośmiowers,,Słownik terminów literackich (Sierotwiński),,
ośmiozgłoskowiec,,ośmiozgłoskowiec,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
ośrodek kompozycyjny,,ośrodek kompozycyjny,,Słownik Terminów Literackich (Głowiński),,
oświecenie,,oświecenie,,"Słownik terminów literackich (Sierotwiński) | Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Słownik literatury polskiej | Słownik polskiej krytyki literackiej 1764-1918 | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich",http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810554821505606,http://www.wikidata.org/entity/Q2512021
oświetlenie,,oświetlenie,,Słownik terminów teatralnych (Patrice Pavis),,
otogizóshi,,otogizóshi,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
oznaczanie,,oznaczanie,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
oznajmienie,oznajmiać?,oznajmieć,,Słownik terminów literackich (Sierotwiński),,
oznaka,,oznaka,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski) | Słownik Terminów Literackich (Głowiński) | Słownik terminów teatralnych (Patrice Pavis)",,
ożywienie,,ożywienie,,Słownik terminów literackich (Sierotwiński) | Słownik Terminów Literackich (Głowiński) | Od teorii do literatury. Słownik literacki | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
pacyfistyczna literatura,,pacyfistyczny literatura,,"Słownik Terminów Literackich (Głowiński) | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia",,
pacyfizm,,pacyfizm,,Słownik pojęć i tekstów kultury,,
pada wisznuickie,padawali wisznuickie,padać wisznuicki,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
padja,padya,padja,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
padwan,,padwan,,"Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
paedeuterion,,paedeuterion,,Słownik Terminów Literackich (Głowiński),,
pageant,,pageant,,Słownik Terminów Literackich (Głowiński) | Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
pagina,,pagina,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
pagina żywa,,pagina żywy,,Słownik terminów literackich (Sierotwiński),,
paginacja,,paginacja,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
paignion,,paignion,,Słownik Terminów Literackich (Głowiński) | Ilustrowany słownik terminów literackich,,
pailü,,pailü,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
paleografia,,paleografia,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
palijski kanon,,palijski kanon,,Słownik Terminów Literackich (Głowiński),,
palillogia,,palillogia,,Słownik Terminów Literackich (Głowiński),,
palimbakch,,palimbakch,,Słownik terminów literackich (Sierotwiński),,
palimbakchej,,palimbakchej,,Słownik Terminów Literackich (Głowiński),,
palimpsest,,palimpsest,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
palindrom,,palindrom,,Słownik terminów literackich (Sierotwiński) | Słownik Terminów Literackich (Głowiński) | Ilustrowany słownik terminów literackich | Od teorii do literatury. Słownik literacki | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
palindron,,palindrona,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
palingeneza,,palingeneza,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik literatury polskiej,,
palinodia,,palinodia,,"Słownik terminów literackich (Sierotwiński) | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
"pamasizm,",,"pamasizm ,",,Słownik literatury polskiej | Słownik pojęć i tekstów kultury,,
pamflet,,pamflet,,"Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Słownik literatury polskiej | Słownik polskiej krytyki literackiej 1764-1918 | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810563917605606,http://www.wikidata.org/entity/Q109030372
pamięć operacyjna,,pamięć operacyjny,,Słownik pojęć i tekstów kultury,,
pamięć wirtualna,,pamięć wirtualny,,Słownik pojęć i tekstów kultury,,
pamiętnik,,pamiętnik,,"Słownik terminów literackich (Sierotwiński) | Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Ilustrowany słownik terminów literackich | Od teorii do literatury. Słownik literacki | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Od aforyzmu do zinu. Gatunki twórczości słownej | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik literatury polskiej | Słownik literatury staropolskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
panegiryk,,panegiryk,,"Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik literatury polskiej | Słownik literatury staropolskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810640362605606,http://www.wikidata.org/entity/Q109052638
panorama,,panorama,,Słownik pojęć i tekstów kultury,,
pansemiotyzm,,pansemiotyzm,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
pantalone,,pantalone,,Słownik terminów literackich (Sierotwiński),,
pantomima,,pantomima,,Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik terminów teatralnych (Patrice Pavis),,
pantomime dialoguée,,pantomime dialoguée,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
pantorym,,pantorym,,Słownik Terminów Literackich (Głowiński),,
pantum,pantun,pantum,,Słownik Terminów Literackich (Głowiński),,
pantun,,pantun,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
papirologia,,papirologia,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
papirus,,papirus,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
paputczycy,,paputczyk,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
parabaza,,parabaza,,Słownik terminów literackich (Sierotwiński) | Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik terminów teatralnych (Patrice Pavis),,
parabola,,parabola,,"Słownik terminów literackich (Sierotwiński) | Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik literatury polskiej | Słownik literatury staropolskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik terminów teatralnych (Patrice Pavis) | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
parada,,parada,,Słownik Terminów Literackich (Głowiński) | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Słownik terminów teatralnych (Patrice Pavis),,
paradoks,,paradoks,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Od teorii do literatury. Słownik literacki | Ilustrowany słownik terminów literackich | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik egzemplaryczny: 44 środków artystycznego wyrazu | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
paradoks kłamcy,,paradoks kłamcy,,Słownik pojęć i tekstów kultury,,
paradoksografia,,paradoksografia,,Słownik terminów literackich (Sierotwiński),,
paradoksografowie,,paradoksograf,,Słownik Terminów Literackich (Głowiński),,
paradygm at,,paradygm at,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
paradygmatyczne relacje,,paradygmatyczny relacja,,Słownik Terminów Literackich (Głowiński),,
parafonia,,parafonia,,Słownik terminów literackich (Sierotwiński),,
parafraza,,parafraza,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Mały słownik terminów teorii tekstu | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
paragoga,,paragoga,,Słownik Terminów Literackich (Głowiński),,
paragraf,,paragraf,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
paragram,,paragram,,Słownik terminów literackich (Sierotwiński) | Słownik Terminów Literackich (Głowiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
parajęzyk,,parajęzyk,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
paraklausithyron,,paraklausithyron,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
paralela,,paralela,,Słownik terminów literackich (Sierotwiński),,
paralelizm,,paralelizm,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Od teorii do literatury. Słownik literacki | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Mały słownik terminów teorii tekstu | Słownik egzemplaryczny: 44 środków artystycznego wyrazu,,
paralelizm intonacyjny,,paralelizm intonacyjny,,Słownik terminów literackich (Sierotwiński),,
paralelizm kompozycyjny,,paralelizm kompozycyjny,,Słownik terminów literackich (Sierotwiński),,
paralelizm semantyczny,,paralelizm semantyczny,,Słownik terminów literackich (Sierotwiński),,
paralelizm stroficzny,,paralelizm stroficzny,,Słownik terminów literackich (Sierotwiński),,
paralelizm syntaktyczny,,paralelizm syntaktyczny,,Słownik terminów literackich (Sierotwiński),,
paralipomena,,paralipomena,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
